user_id,registration_date,region,age_group
187,2025-07-12,NSW,18-24
188,2025-08-16,VIC,35-44
189,2025-07-21,NSW,18-24
190,2025-08-02,QLD,45-54
191,2025-09-04,VIC,25-34
192,2025-09-11,NSW,35-44
193,2025-09-21,NSW,25-34
194,2025-07-22,NSW,45-54
195,2025-09-04,SA,55-64
196,2025-06-04,NSW,25-34
197,2025-09-02,QLD,55-64
198,2025-09-09,WA,25-34
199,2025-06-23,QLD,35-44
200,2025-09-11,SA,55-64
201,2025-09-17,VIC,25-34
202,2025-06-15,ACT,65+
203,2025-07-13,NSW,18-24
204,2025-06-29,NSW,18-24
205,2025-07-06,QLD,55-64
206,2025-06-13,TAS,18-24
207,2025-07-02,WA,65+
208,2025-08-10,NSW,65+
209,2025-07-29,NSW,18-24
210,2025-09-23,TAS,35-44
211,2025-08-25,NSW,25-34
212,2025-06-28,WA,25-34
213,2025-08-05,WA,18-24
214,2025-07-12,VIC,25-34
215,2025-07-15,VIC,25-34
216,2025-08-01,VIC,25-34
217,2025-07-27,NSW,65+
218,2025-09-25,SA,45-54
219,2025-06-06,VIC,45-54
220,2025-06-28,SA,35-44
221,2025-06-28,NSW,45-54
222,2025-09-16,NT,25-34
223,2025-07-14,VIC,45-54
224,2025-08-23,NSW,65+
225,2025-06-30,NSW,25-34
226,2025-08-01,QLD,35-44
227,2025-08-14,QLD,55-64
228,2025-09-30,WA,55-64
229,2025-09-27,NSW,45-54
230,2025-08-31,NSW,25-34
231,2025-08-28,VIC,25-34
232,2025-09-11,VIC,18-24
233,2025-08-01,VIC,45-54
234,2025-09-05,NT,18-24
235,2025-06-01,ACT,55-64
236,2025-09-29,TAS,18-24
237,2025-06-27,WA,25-34
238,2025-08-01,VIC,35-44
239,2025-09-29,VIC,45-54
240,2025-09-24,VIC,18-24
241,2025-08-16,WA,25-34
242,2025-09-13,NSW,35-44
243,2025-06-03,VIC,25-34
244,2025-09-11,NSW,18-24
245,2025-08-09,VIC,45-54
246,2025-08-11,SA,35-44
247,2025-06-27,WA,18-24
248,2025-06-09,NSW,45-54
249,2025-08-01,ACT,65+
250,2025-07-07,QLD,35-44
251,2025-09-05,NSW,35-44
252,2025-07-21,NSW,55-64
253,2025-09-14,NSW,65+
254,2025-07-14,NSW,45-54
255,2025-06-24,ACT,25-34
256,2025-08-18,VIC,35-44
257,2025-07-29,SA,45-54
258,2025-09-26,NSW,25-34
259,2025-07-02,NSW,25-34
260,2025-09-04,VIC,45-54
261,2025-08-27,NSW,35-44
262,2025-09-13,VIC,25-34
263,2025-07-22,TAS,35-44
264,2025-09-21,VIC,18-24
265,2025-08-01,QLD,25-34
266,2025-09-21,NSW,45-54
267,2025-07-28,NSW,25-34
268,2025-07-22,NSW,25-34
269,2025-06-12,QLD,65+
270,2025-07-09,NSW,25-34
271,2025-06-02,VIC,25-34
272,2025-06-03,VIC,65+
273,2025-09-21,VIC,45-54
274,2025-09-09,NSW,45-54
275,2025-09-21,NSW,55-64
276,2025-07-26,TAS,18-24
277,2025-08-20,QLD,45-54
278,2025-07-29,VIC,35-44
279,2025-09-21,NSW,45-54
280,2025-06-02,NT,35-44
281,2025-06-02,QLD,35-44
282,2025-08-31,NSW,35-44
283,2025-07-24,SA,35-44
284,2025-08-26,NSW,45-54
285,2025-09-09,VIC,35-44
286,2025-09-04,QLD,35-44
287,2025-09-05,NSW,25-34
288,2025-06-01,ACT,35-44
289,2025-06-19,QLD,45-54
290,2025-06-02,VIC,45-54
291,2025-07-23,NSW,45-54
292,2025-07-14,NSW,55-64
293,2025-08-29,NSW,45-54
294,2025-07-02,WA,35-44
295,2025-08-09,NSW,35-44
296,2025-07-02,VIC,55-64
297,2025-09-27,QLD,35-44
298,2025-08-07,NSW,45-54
299,2025-07-25,QLD,45-54
300,2025-08-14,NSW,35-44
301,2025-07-26,ACT,25-34
302,2025-06-17,VIC,25-34
303,2025-07-08,NSW,65+
304,2025-06-24,VIC,35-44
305,2025-08-08,VIC,35-44
306,2025-09-24,WA,55-64
307,2025-09-06,QLD,35-44
308,2025-08-09,QLD,35-44
309,2025-08-25,NSW,45-54
310,2025-06-11,NSW,45-54
311,2025-09-20,NSW,25-34
312,2025-06-16,VIC,35-44
313,2025-09-05,SA,35-44
314,2025-08-12,VIC,25-34
315,2025-07-29,NSW,35-44
316,2025-08-09,VIC,25-34
317,2025-08-19,WA,25-34
318,2025-09-01,QLD,25-34
319,2025-06-03,SA,18-24
320,2025-06-20,NSW,35-44
321,2025-07-29,NSW,55-64
322,2025-07-06,SA,45-54
323,2025-06-19,QLD,25-34
324,2025-08-29,NSW,18-24
325,2025-08-06,QLD,25-34
326,2025-06-19,WA,35-44
327,2025-06-20,QLD,25-34
328,2025-09-04,QLD,35-44
329,2025-08-10,VIC,25-34
330,2025-07-22,VIC,55-64
331,2025-09-13,VIC,25-34
332,2025-07-03,SA,25-34
333,2025-07-10,WA,45-54
334,2025-07-09,WA,25-34
335,2025-08-21,NSW,18-24
336,2025-09-12,QLD,35-44
337,2025-06-01,WA,35-44
338,2025-06-11,QLD,45-54
339,2025-08-31,WA,25-34
340,2025-07-27,SA,25-34
341,2025-08-28,VIC,25-34
342,2025-07-20,VIC,18-24
343,2025-06-23,NSW,55-64
344,2025-07-01,VIC,45-54
345,2025-09-02,QLD,25-34
346,2025-07-12,WA,35-44
347,2025-09-07,NSW,25-34
348,2025-06-07,NSW,55-64
349,2025-06-16,QLD,18-24
350,2025-08-29,NSW,18-24
351,2025-09-20,NSW,35-44
352,2025-09-29,NSW,35-44
353,2025-09-24,NSW,35-44
354,2025-07-30,NSW,18-24
355,2025-09-21,VIC,25-34
356,2025-06-02,VIC,35-44
357,2025-06-01,SA,25-34
358,2025-07-18,VIC,55-64
359,2025-06-12,QLD,18-24
360,2025-08-08,NSW,35-44
361,2025-07-07,NSW,45-54
362,2025-07-02,QLD,25-34
363,2025-09-27,NSW,35-44
364,2025-06-09,VIC,45-54
365,2025-09-13,QLD,25-34
366,2025-09-07,QLD,55-64
367,2025-06-19,NSW,35-44
368,2025-07-18,NSW,25-34
369,2025-08-19,QLD,25-34
370,2025-06-03,NSW,25-34
371,2025-06-20,QLD,45-54
372,2025-06-24,QLD,45-54
373,2025-07-24,NT,45-54
374,2025-09-28,NSW,65+
375,2025-07-03,WA,45-54
376,2025-06-24,VIC,35-44
377,2025-09-24,VIC,25-34
378,2025-08-14,NSW,35-44
379,2025-09-21,QLD,18-24
380,2025-08-11,NSW,45-54
381,2025-07-06,VIC,25-34
382,2025-07-08,NSW,18-24
383,2025-09-12,WA,18-24
384,2025-08-23,WA,25-34
385,2025-09-07,QLD,35-44
386,2025-09-20,NSW,35-44
387,2025-08-28,NSW,35-44
388,2025-09-07,QLD,35-44
389,2025-06-25,VIC,35-44
390,2025-09-01,NSW,25-34
391,2025-06-18,QLD,18-24
392,2025-09-18,NT,35-44
393,2025-08-21,QLD,35-44
394,2025-08-05,QLD,18-24
395,2025-07-24,ACT,25-34
396,2025-07-05,NSW,18-24
397,2025-08-19,VIC,35-44
398,2025-07-31,ACT,25-34
399,2025-07-11,NSW,35-44
400,2025-09-08,QLD,45-54
401,2025-07-03,VIC,25-34
402,2025-08-07,VIC,65+
403,2025-07-03,QLD,35-44
404,2025-06-14,TAS,35-44
405,2025-06-21,WA,45-54
406,2025-07-18,NSW,35-44
407,2025-06-20,SA,35-44
408,2025-09-28,NSW,25-34
409,2025-06-08,VIC,18-24
410,2025-06-07,VIC,18-24
411,2025-08-06,VIC,25-34
412,2025-06-17,VIC,25-34
413,2025-07-03,TAS,25-34
414,2025-07-18,QLD,18-24
415,2025-08-15,QLD,45-54
416,2025-07-29,NSW,55-64
417,2025-09-23,SA,55-64
418,2025-08-25,SA,35-44
419,2025-09-27,WA,45-54
420,2025-06-22,NSW,55-64
421,2025-09-18,NSW,25-34
422,2025-06-30,NSW,25-34
423,2025-07-08,NSW,55-64
424,2025-09-10,VIC,35-44
425,2025-09-17,TAS,35-44
426,2025-07-21,VIC,25-34
427,2025-07-24,NSW,18-24
428,2025-06-08,NSW,55-64
429,2025-06-27,NSW,35-44
430,2025-06-27,NSW,25-34
431,2025-09-06,NSW,25-34
432,2025-06-21,NSW,35-44
433,2025-06-30,WA,35-44
434,2025-09-05,ACT,25-34
435,2025-06-28,VIC,55-64
436,2025-09-19,VIC,18-24
437,2025-08-03,SA,25-34
438,2025-09-05,NSW,45-54
439,2025-08-08,NSW,25-34
440,2025-07-31,SA,45-54
441,2025-07-18,NSW,45-54
442,2025-06-19,QLD,45-54
443,2025-06-04,VIC,18-24
444,2025-07-05,VIC,18-24
445,2025-08-03,NSW,25-34
446,2025-07-19,WA,35-44
447,2025-06-17,NSW,45-54
448,2025-07-14,NSW,45-54
449,2025-08-31,QLD,45-54
450,2025-06-30,VIC,55-64
451,2025-09-01,NSW,45-54
452,2025-07-16,SA,25-34
453,2025-09-25,VIC,25-34
454,2025-06-06,WA,45-54
455,2025-09-07,WA,25-34
456,2025-09-13,QLD,18-24
457,2025-07-07,VIC,35-44
458,2025-06-24,ACT,45-54
459,2025-09-01,NSW,18-24
460,2025-09-21,QLD,45-54
461,2025-07-16,NSW,45-54
462,2025-07-23,VIC,35-44
463,2025-09-03,NSW,18-24
464,2025-09-07,TAS,25-34
465,2025-07-30,ACT,45-54
466,2025-09-05,NSW,45-54
467,2025-09-24,NSW,55-64
468,2025-08-02,QLD,35-44
469,2025-08-24,VIC,18-24
470,2025-07-02,NSW,18-24
471,2025-08-26,QLD,45-54
472,2025-07-03,VIC,25-34
473,2025-08-06,NT,25-34
474,2025-06-18,NSW,35-44
475,2025-06-25,VIC,18-24
476,2025-09-14,VIC,25-34
477,2025-09-03,WA,25-34
478,2025-07-24,VIC,25-34
479,2025-07-28,QLD,18-24
480,2025-08-06,NSW,45-54
481,2025-09-12,SA,45-54
482,2025-07-16,VIC,25-34
483,2025-06-24,NSW,45-54
484,2025-09-22,QLD,25-34
485,2025-07-02,NSW,35-44
486,2025-07-17,NSW,55-64
487,2025-08-25,SA,45-54
488,2025-06-23,VIC,45-54
489,2025-08-05,QLD,18-24
490,2025-06-27,NSW,18-24
491,2025-09-14,WA,55-64
492,2025-06-02,NSW,25-34
493,2025-08-29,VIC,25-34
494,2025-06-17,ACT,45-54
495,2025-09-12,WA,45-54
496,2025-07-03,VIC,55-64
497,2025-06-09,VIC,25-34
498,2025-07-13,SA,55-64
499,2025-09-26,VIC,18-24
500,2025-07-18,WA,18-24
501,2025-07-09,WA,35-44
502,2025-09-01,NSW,18-24
503,2025-07-12,NSW,25-34
504,2025-09-27,QLD,35-44
505,2025-06-26,NSW,25-34
506,2025-09-07,NSW,25-34
507,2025-07-20,TAS,25-34
508,2025-06-25,VIC,25-34
509,2025-06-24,WA,35-44
510,2025-06-13,VIC,45-54
511,2025-07-30,VIC,45-54
512,2025-09-30,NSW,25-34
513,2025-06-07,VIC,55-64
514,2025-07-27,NSW,18-24
515,2025-07-06,VIC,25-34
516,2025-07-15,WA,45-54
517,2025-06-20,VIC,25-34
518,2025-08-04,VIC,65+
519,2025-06-08,VIC,35-44
520,2025-09-18,NSW,45-54
521,2025-06-16,VIC,25-34
522,2025-06-14,NSW,25-34
523,2025-08-15,NSW,25-34
524,2025-09-23,NSW,45-54
525,2025-08-26,VIC,35-44
526,2025-06-15,WA,65+
527,2025-08-31,NSW,25-34
528,2025-09-06,NSW,18-24
529,2025-08-05,QLD,25-34
530,2025-07-02,NSW,35-44
531,2025-08-26,SA,55-64
532,2025-08-02,VIC,25-34
533,2025-08-25,VIC,35-44
534,2025-07-21,VIC,25-34
535,2025-06-25,NSW,35-44
536,2025-07-28,QLD,55-64
537,2025-08-02,VIC,25-34
538,2025-08-01,SA,25-34
539,2025-06-22,NSW,65+
540,2025-07-28,VIC,55-64
541,2025-07-28,QLD,35-44
542,2025-08-25,NSW,35-44
543,2025-07-19,VIC,25-34
544,2025-07-22,QLD,35-44
545,2025-07-12,WA,55-64
546,2025-08-09,NSW,45-54
547,2025-06-15,WA,25-34
548,2025-07-24,ACT,25-34
549,2025-09-15,SA,25-34
550,2025-07-30,NSW,25-34
551,2025-09-09,QLD,18-24
552,2025-09-05,NSW,25-34
553,2025-06-08,NT,18-24
554,2025-07-23,VIC,25-34
555,2025-07-30,NSW,35-44
556,2025-09-16,QLD,25-34
557,2025-09-16,NSW,18-24
558,2025-06-05,NT,25-34
559,2025-09-11,ACT,25-34
560,2025-08-07,QLD,35-44
561,2025-06-06,NSW,18-24
562,2025-09-17,QLD,45-54
563,2025-09-04,NSW,55-64
564,2025-09-24,NSW,45-54
565,2025-09-02,WA,35-44
566,2025-07-17,NSW,55-64
567,2025-09-07,VIC,45-54
568,2025-07-25,ACT,18-24
569,2025-07-10,VIC,25-34
570,2025-07-22,NSW,55-64
571,2025-06-16,TAS,25-34
572,2025-06-13,NSW,18-24
573,2025-09-22,WA,45-54
574,2025-09-14,NT,45-54
575,2025-06-30,SA,25-34
576,2025-06-19,QLD,35-44
577,2025-06-17,NSW,25-34
578,2025-09-28,NSW,45-54
579,2025-08-02,WA,25-34
580,2025-06-19,SA,25-34
581,2025-08-31,VIC,55-64
582,2025-07-28,NSW,35-44
583,2025-07-25,NSW,35-44
584,2025-08-29,NSW,25-34
585,2025-09-09,QLD,25-34
586,2025-08-29,VIC,35-44
587,2025-09-25,SA,18-24
588,2025-08-01,QLD,25-34
589,2025-06-23,NSW,25-34
590,2025-06-09,QLD,45-54
591,2025-06-12,VIC,65+
592,2025-09-25,VIC,65+
593,2025-06-01,QLD,25-34
594,2025-07-28,WA,25-34
595,2025-09-30,SA,25-34
596,2025-06-01,NSW,55-64
597,2025-09-19,NSW,25-34
598,2025-07-04,QLD,65+
599,2025-09-04,NSW,25-34
600,2025-09-26,NSW,65+
601,2025-07-18,NSW,45-54
602,2025-08-28,QLD,45-54
603,2025-09-12,NSW,25-34
604,2025-09-17,QLD,18-24
605,2025-09-25,NT,25-34
606,2025-06-01,NSW,25-34
607,2025-06-16,NSW,18-24
608,2025-07-31,VIC,35-44
609,2025-09-11,SA,25-34
610,2025-08-03,NSW,35-44
611,2025-08-02,VIC,35-44
612,2025-08-08,NSW,18-24
613,2025-06-22,WA,65+
614,2025-09-01,VIC,25-34
615,2025-09-27,WA,25-34
616,2025-08-06,SA,35-44
617,2025-08-15,NSW,45-54
618,2025-06-26,WA,18-24
619,2025-06-16,NSW,25-34
620,2025-07-21,SA,35-44
621,2025-09-09,QLD,25-34
622,2025-08-25,SA,35-44
623,2025-07-27,NSW,55-64
624,2025-06-29,NSW,65+
625,2025-08-17,VIC,18-24
626,2025-08-31,VIC,25-34
627,2025-08-08,NSW,25-34
628,2025-07-17,VIC,25-34
629,2025-09-21,NSW,25-34
630,2025-09-02,VIC,25-34
631,2025-09-18,WA,65+
632,2025-08-01,VIC,55-64
633,2025-09-24,NSW,18-24
634,2025-08-08,VIC,25-34
635,2025-08-15,NSW,25-34
636,2025-06-16,ACT,25-34
637,2025-08-29,NSW,35-44
638,2025-08-29,QLD,35-44
639,2025-07-18,ACT,55-64
640,2025-08-24,WA,45-54
641,2025-07-09,QLD,35-44
642,2025-09-08,WA,35-44
643,2025-07-03,NT,25-34
644,2025-09-02,QLD,35-44
645,2025-09-09,VIC,35-44
646,2025-06-23,QLD,18-24
647,2025-09-30,VIC,25-34
648,2025-06-10,QLD,25-34
649,2025-09-26,VIC,55-64
650,2025-08-08,NSW,25-34
651,2025-09-08,NSW,25-34
652,2025-07-04,NSW,25-34
653,2025-07-22,NSW,35-44
654,2025-09-03,NSW,18-24
655,2025-06-10,VIC,65+
656,2025-09-30,NSW,55-64
657,2025-06-19,WA,35-44
658,2025-07-28,NSW,35-44
659,2025-09-04,NSW,18-24
660,2025-06-01,QLD,25-34
661,2025-09-28,QLD,45-54
662,2025-08-08,NSW,18-24
663,2025-09-17,SA,25-34
664,2025-06-04,SA,35-44
665,2025-06-16,VIC,25-34
666,2025-06-24,VIC,55-64
667,2025-08-19,NT,18-24
668,2025-09-27,QLD,45-54
669,2025-06-02,VIC,35-44
670,2025-09-21,WA,45-54
671,2025-08-31,NSW,25-34
672,2025-07-02,VIC,35-44
673,2025-08-30,NSW,55-64
674,2025-08-23,WA,35-44
675,2025-06-24,VIC,25-34
676,2025-06-12,QLD,35-44
677,2025-07-20,NSW,45-54
678,2025-07-05,NSW,25-34
679,2025-07-03,VIC,55-64
680,2025-07-03,QLD,25-34
681,2025-07-31,VIC,35-44
682,2025-07-21,NSW,45-54
683,2025-07-13,SA,45-54
684,2025-09-09,NSW,55-64
685,2025-06-12,ACT,65+
686,2025-08-06,NSW,25-34
687,2025-08-04,QLD,18-24
688,2025-07-03,NSW,18-24
689,2025-07-10,TAS,45-54
690,2025-08-13,VIC,55-64
691,2025-07-13,NSW,25-34
692,2025-07-14,VIC,18-24
693,2025-06-29,NSW,18-24
694,2025-06-13,NSW,45-54
695,2025-06-12,TAS,25-34
696,2025-09-03,VIC,25-34
697,2025-07-16,WA,35-44
698,2025-06-02,QLD,45-54
699,2025-09-23,QLD,35-44
700,2025-09-22,NSW,35-44
701,2025-07-05,NSW,25-34
702,2025-08-26,WA,35-44
703,2025-08-20,ACT,45-54
704,2025-08-29,NSW,65+
705,2025-06-08,NSW,25-34
706,2025-09-01,VIC,18-24
707,2025-06-26,NT,18-24
708,2025-08-13,NSW,25-34
709,2025-08-29,VIC,45-54
710,2025-07-04,SA,18-24
711,2025-09-23,NSW,25-34
712,2025-09-13,NSW,25-34
713,2025-06-07,QLD,18-24
714,2025-08-07,SA,25-34
715,2025-07-28,NSW,25-34
716,2025-09-25,VIC,25-34
717,2025-09-22,VIC,45-54
718,2025-09-17,VIC,35-44
719,2025-08-14,QLD,18-24
720,2025-06-29,VIC,65+
721,2025-09-28,VIC,35-44
722,2025-07-06,VIC,45-54
723,2025-08-28,QLD,18-24
724,2025-06-21,VIC,18-24
725,2025-09-29,SA,18-24
726,2025-07-06,NSW,25-34
727,2025-06-10,WA,25-34
728,2025-09-09,SA,55-64
729,2025-08-12,NSW,25-34
730,2025-06-24,VIC,25-34
731,2025-08-03,VIC,35-44
732,2025-09-07,NSW,18-24
733,2025-07-19,VIC,35-44
734,2025-09-07,NSW,35-44
735,2025-09-20,NSW,45-54
736,2025-07-06,WA,65+
737,2025-08-21,NSW,25-34
738,2025-09-21,WA,35-44
739,2025-09-11,VIC,55-64
740,2025-09-04,SA,45-54
741,2025-06-24,VIC,35-44
742,2025-06-23,NSW,65+
743,2025-08-01,QLD,18-24
744,2025-09-04,NSW,55-64
745,2025-07-07,VIC,18-24
746,2025-06-12,TAS,35-44
747,2025-09-21,NSW,55-64
748,2025-07-25,VIC,25-34
749,2025-06-13,QLD,35-44
750,2025-06-23,SA,25-34
751,2025-08-28,QLD,65+
752,2025-09-07,NSW,45-54
753,2025-09-13,QLD,45-54
754,2025-06-30,NSW,35-44
755,2025-06-17,QLD,45-54
756,2025-09-21,ACT,25-34
757,2025-08-01,QLD,25-34
758,2025-08-23,SA,45-54
759,2025-09-20,NSW,25-34
760,2025-08-28,QLD,18-24
761,2025-08-25,WA,18-24
762,2025-06-13,NSW,18-24
763,2025-07-29,SA,55-64
764,2025-06-19,NSW,35-44
765,2025-07-19,QLD,45-54
766,2025-09-08,WA,25-34
767,2025-06-12,QLD,25-34
768,2025-07-31,NSW,25-34
769,2025-09-13,QLD,45-54
770,2025-06-19,VIC,35-44
771,2025-08-15,SA,55-64
772,2025-06-09,VIC,35-44
773,2025-08-10,NSW,35-44
774,2025-06-28,QLD,35-44
775,2025-08-17,VIC,65+
776,2025-09-03,QLD,45-54
777,2025-07-22,QLD,18-24
778,2025-08-22,SA,35-44
779,2025-09-30,QLD,45-54
780,2025-09-19,VIC,45-54
781,2025-06-16,NSW,25-34
782,2025-09-25,NSW,55-64
783,2025-08-08,NSW,65+
784,2025-09-07,NSW,25-34
785,2025-06-12,QLD,55-64
786,2025-06-25,QLD,18-24
787,2025-07-22,VIC,18-24
788,2025-08-24,WA,18-24
789,2025-09-08,NT,18-24
790,2025-07-23,WA,55-64
791,2025-06-23,QLD,18-24
792,2025-06-16,VIC,25-34
793,2025-07-27,VIC,18-24
794,2025-07-09,NSW,25-34
795,2025-09-17,VIC,18-24
796,2025-07-23,TAS,35-44
797,2025-07-12,WA,18-24
798,2025-07-28,NSW,55-64
799,2025-07-09,VIC,45-54
800,2025-06-14,WA,18-24
801,2025-09-03,NSW,55-64
802,2025-09-30,VIC,18-24
803,2025-06-05,SA,25-34
804,2025-07-05,VIC,18-24
805,2025-08-26,NSW,25-34
806,2025-09-01,VIC,35-44
807,2025-09-15,SA,45-54
808,2025-08-14,QLD,25-34
809,2025-06-18,NSW,45-54
810,2025-09-19,VIC,25-34
811,2025-08-15,VIC,45-54
812,2025-06-09,VIC,25-34
813,2025-08-13,WA,18-24
814,2025-07-28,NSW,25-34
815,2025-09-16,SA,25-34
816,2025-06-17,NSW,35-44
817,2025-09-10,VIC,55-64
818,2025-06-07,NSW,18-24
819,2025-07-16,VIC,45-54
820,2025-06-13,VIC,35-44
821,2025-07-10,VIC,55-64
822,2025-07-12,NSW,25-34
823,2025-06-09,QLD,25-34
824,2025-07-20,NSW,55-64
825,2025-06-27,WA,35-44
826,2025-09-30,TAS,25-34
827,2025-08-05,VIC,18-24
828,2025-06-05,VIC,25-34
829,2025-06-29,VIC,35-44
830,2025-07-07,NSW,45-54
831,2025-07-08,VIC,18-24
832,2025-08-22,WA,35-44
833,2025-06-08,QLD,35-44
